overdue_ratio,avg_delay_days,pending_ratio,payment_frequency,neighbor_avg_risk,centrality_score,stress_velocity,contagion_score,is_stressed
0.025574,6.0843,0.05679,12,28.5362,0.203109,-0.031216,5.7959590458,0
0.137964,1.9599,0.295383,8,12.0582,0.178902,-0.157419,2.1572360964,0
0.052363,5.0679,0.358292,13,24.0722,0.40206,-0.305929,9.678468731999999,0
0.255568,12.038,0.288864,5,29.3714,0.15691,-0.03329599999999999,4.608666374,1
0.024207,3.0328,0.370269,10,20.853,0.107957,-0.34606200000000004,2.251227321,0
0.014667,0.5467,0.194954,10,36.5311,0.527283,-0.18028699999999998,19.2622280013,0
0.092251,2.0026,0.04513,12,26.88,0.411258,0.047120999999999996,11.05461504,0
0.109309,5.4513,0.356381,11,28.213,0.13097,-0.247072,3.6950566100000004,0
0.446312,12.4407,0.369434,9,35.5556,0.408781,0.076878,14.534453723599999,0
0.401942,11.6685,0.246002,7,15.4417,0.254698,0.15594000000000002,3.9329701066,0
0.096397,3.4463,0.216892,11,27.6245,0.047328,-0.120495,1.307412336,0
0.080593,2.0226,0.208625,10,16.0002,0.574613,-0.128032,9.1939229226,0
0.083686,4.3791,0.127928,12,29.9993,0.052962,-0.04424199999999999,1.5888229266000002,0
0.178592,4.7758,0.112222,9,13.2229,0.081629,0.06637,1.0793721041,1
0.653053,23.2587,0.518156,1,73.2409,0.636732,0.13489700000000004,46.63482473879999,1
0.049439,4.5107,0.027147,10,10.1973,0.263447,0.022291999999999996,2.6864480931,0
0.070368,9.3286,0.10996,12,28.0704,0.179953,-0.039592,5.0513526912,1
0.391809,14.4278,0.141406,6,11.0961,0.491222,0.25040300000000004,5.4506484342,0
0.192925,6.4296,0.176078,10,48.3184,0.237541,0.016847,11.4776010544,0
0.000492,0.3061,0.182765,13,20.3315,0.533848,-0.18227300000000002,10.853930612,0
0.147615,4.9014,0.064977,11,30.0906,0.174288,0.082638,5.244430492799999,0
0.188783,4.7047,0.213674,13,22.0055,0.07146,-0.024890999999999996,1.57251303,0
0.0,1.6393,0.201808,11,20.0381,0.288699,-0.201808,5.7849794319,1
0.097892,5.2926,0.015886,9,8.5718,0.198884,0.08200600000000001,1.7047938712,0
0.207743,5.1958,0.099384,11,23.5013,0.44386,0.10835900000000001,10.431287017999999,0
0.378541,23.4178,0.173521,5,52.2378,0.437303,0.20502,22.8437466534,1
0.365099,29.1473,0.316032,5,36.4037,0.730392,0.04906700000000003,26.5889712504,0
0.4046,33.7743,0.732381,2,69.0724,0.629504,-0.32778099999999993,43.481352089599994,1
0.006297,5.2265,0.592275,10,28.3081,0.417949,-0.585978,11.8313420869,0
0.419458,44.8543,0.502432,1,64.7332,0.727413,-0.08297399999999999,47.08777121159999,0
0.02222,0.9865,0.315255,9,24.7082,0.600571,-0.293035,14.8390283822,0
0.0,9.1203,0.019033,9,23.7558,0.158297,-0.019033,3.7604718726,0
0.079913,4.5686,0.150588,8,20.5924,0.117363,-0.070675,2.4167858412,0
0.662607,46.914,0.753948,0,71.5565,0.231157,-0.091341,16.5407858705,1
0.013123,2.2533,0.011166,12,24.8723,0.464191,0.0019569999999999987,11.5454978093,0
0.112757,3.0535,0.082844,9,9.291,0.214316,0.029912999999999995,1.991209956,0
0.135075,3.7258,0.136663,8,20.3845,0.455455,-0.001588000000000006,9.2842224475,0
0.021055,1.9214,0.334207,12,11.4898,0.140633,-0.313152,1.6158450434000002,0
0.088524,5.5286,0.119188,13,17.5098,0.241413,-0.030663999999999997,4.227093347399999,0
0.014692,1.3536,0.436008,12,31.1659,0.207182,-0.421316,6.4570134938,0
0.148183,6.7709,0.273677,8,33.7961,0.220927,-0.125494,7.466470984700001,0
0.389269,17.2671,0.291413,7,21.0104,0.190186,0.097856,3.9958839344,0
0.901776,83.7004,0.905676,1,56.7914,0.682734,-0.0039000000000000146,38.7734196876,1
0.146059,5.4129,0.119504,10,31.8378,0.456135,0.026554999999999995,14.522334903,0
0.157732,4.4336,0.340942,12,12.8659,0.202335,-0.18321,2.6032218764999997,0
0.022133,4.1495,0.175314,10,27.5474,0.413324,-0.153181,11.3860015576,1
0.298655,7.3882,0.033905,10,28.5644,0.472968,0.26475,13.5100471392,0
0.005263,0.0,0.206754,9,21.62,0.18559,-0.201491,4.012455800000001,0
0.003017,2.9474,0.288215,13,8.5764,0.292345,-0.285198,2.507267658,0
0.243991,21.2636,0.155444,7,28.174,0.249966,0.08854700000000001,7.042542084,1
0.564871,25.9633,0.639181,4,78.7379,0.766764,-0.07430999999999999,60.3733871556,0
0.362808,7.689,0.708489,10,39.7681,0.319565,-0.345681,12.7084928765,0
0.374573,25.4352,0.432515,1,38.7946,0.369008,-0.057941999999999994,14.3155177568,1
0.111499,2.6214,0.182353,8,17.1648,0.239528,-0.07085399999999999,4.1114502144,0
0.375254,9.0815,0.31299,6,28.57,0.417357,0.062263999999999986,11.923889489999999,1
0.421859,39.3314,0.396575,5,67.3558,0.565546,0.025283999999999973,38.092803266800004,0
0.091892,19.8705,0.098608,8,33.5938,0.618851,-0.006716,20.789556723800004,0
0.025574,6.0843,0.05679,12,28.5362,0.203109,-0.031216,5.7959590458,0
0.002627,2.8935,0.051376,10,36.7886,0.440879,-0.048749,16.2193211794,0
0.042911,5.5346,0.206419,12,25.5068,0.221382,-0.163508,5.646746397599999,0
0.288759,6.4689,0.365468,11,19.318,0.161077,-0.07670900000000003,3.1116854860000003,0
0.525157,14.6236,0.160233,6,39.6915,0.42321,0.364924,16.797839715,0
0.660821,55.2974,0.363689,4,59.1245,0.474599,0.297132,28.060428575499998,1
0.347219,17.3778,0.221164,9,22.5233,0.164712,0.126055,3.7098577895999996,0
0.359298,31.9246,0.318869,9,5.1015,0.281974,0.04042899999999999,1.438490361,0
0.28089,11.3484,0.1734,9,34.7044,0.149142,0.10748999999999997,5.1758836248,0
0.025363,3.7581,0.099525,10,27.4816,0.24321,-0.074162,6.683799936000001,1
0.268064,7.6556,0.364924,9,32.7418,0.491795,-0.09686,16.102253531,1
0.108674,7.0908,0.196088,12,22.4328,0.106144,-0.087414,2.3811071232,0
0.059366,3.0635,0.040844,13,27.127,0.323777,0.018522000000000004,8.783098678999998,0
0.020794,3.6817,0.019568,9,20.2564,0.205435,0.0012260000000000014,4.161373534,0
0.185016,4.9149,0.278095,14,11.9703,0.142255,-0.09307899999999997,1.7028350264999998,0
0.379097,6.0985,0.681861,7,30.5861,0.266155,-0.30276400000000003,8.140643445499999,0
0.152937,2.6673,0.121286,8,39.7354,0.161628,0.031650999999999985,6.4223532312,0
0.070009,3.4949,0.202669,8,28.166,0.203225,-0.13266,5.724035349999999,0
0.057676,5.7888,0.421802,7,30.4817,0.228529,-0.364126,6.965952419300001,0
0.972072,41.9027,0.680475,2,91.2106,0.672402,0.291597,61.330189861200004,1
0.003743,1.7085,0.042534,9,8.4406,0.259765,-0.038791000000000006,2.192572459,0
0.244851,8.984,0.25946,11,9.5278,0.023152,-0.01460900000000001,0.22058762559999998,1
0.067115,4.0832,0.187727,13,5.2555,0.439741,-0.12061200000000001,2.3110588255,0
0.162779,21.4203,0.304712,11,47.4275,0.552472,-0.14193299999999998,26.20236578,0
0.0,1.5842,0.133324,13,17.4797,0.294642,-0.133324,5.150253767400001,1
0.381846,41.7303,0.311103,2,72.1645,0.807917,0.070743,58.3029263465,0
0.08034,13.2873,0.126359,5,6.1387,0.273093,-0.046019000000000004,1.6764359991,0
0.153764,2.7882,0.138316,10,42.0473,0.172677,0.015448000000000017,7.2606016221,0
0.236859,6.0922,0.121114,12,29.6378,0.447406,0.11574499999999999,13.2601295468,0
0.379097,6.0985,0.681861,7,30.5861,0.266155,-0.30276400000000003,8.140643445499999,0
0.200533,9.6943,0.094778,8,17.6153,0.074898,0.10575499999999999,1.3193507394000001,0
0.043193,2.8027,0.281849,11,34.665,0.232652,-0.238656,8.06488158,0
0.203386,14.64,0.105495,6,18.4217,0.278298,0.097891,5.1267222666,1
0.006096,3.7895,0.312551,11,35.8073,0.170356,-0.30645500000000003,6.0999883988,0
0.106617,4.6402,0.048896,8,13.0229,0.101233,0.057721,1.3183472357000001,0
0.232048,15.8748,0.353109,6,29.6759,0.183385,-0.121061,5.442114921499999,1
0.278235,18.4032,0.066811,5,33.5583,0.118334,0.211424,3.9710878722,0
0.074426,22.5067,0.656908,8,42.071,0.305688,-0.582482,12.860599848,0
0.162958,16.7803,0.475638,7,36.025,0.526194,-0.31268,18.956138850000002,0
0.025569,3.9232,0.272312,14,30.2882,0.378031,-0.246743,11.4498785342,0
0.54808,35.528,0.665619,3,68.3507,0.236169,-0.11753899999999995,16.1423164683,0
0.600266,31.1692,0.626291,0,69.2986,0.416498,-0.026025000000000076,28.862728302799997,1
0.034084,4.6613,0.099106,12,22.4192,0.088244,-0.065022,1.9783598848000001,0
0.413648,11.1735,0.093848,12,23.1301,0.445711,0.31980000000000003,10.3093400011,0
0.0,1.5809,0.28518,11,32.6214,0.548672,-0.28518,17.898448780800003,0
0.021873,4.2444,0.027231,13,24.009,0.233697,-0.005358000000000002,5.610831273,0
0.93151,40.353,0.84646,0,69.974,0.272575,0.08504999999999996,19.07316305,1
0.278235,18.4032,0.066811,5,33.5583,0.118334,0.211424,3.9710878722,0
0.081437,7.1169,0.180131,11,17.8619,0.390114,-0.09869400000000002,6.9681772566,0
0.257727,8.255,0.451609,9,45.4438,0.030351,-0.193882,1.3792647738000001,0
0.07351,16.813,0.149263,8,34.6991,0.750605,-0.075753,26.0453179555,0
0.345348,8.0865,0.52961,11,11.5547,0.27395,-0.18426200000000004,3.1654100650000006,0
0.005263,0.0,0.206754,9,21.62,0.18559,-0.201491,4.012455800000001,0
0.169824,15.1583,0.177368,10,18.6015,0.250453,-0.007543999999999995,4.6588014795,0
0.082084,6.0379,0.074453,10,21.3598,0.140837,0.007630999999999999,3.0082501525999996,0
0.425465,22.4313,0.104083,9,25.2494,0.158524,0.321382,4.0026358856,0
0.030587,15.1435,0.219849,7,22.4899,0.328073,-0.18926199999999999,7.3783289626999995,0
0.690072,40.0807,0.537746,1,51.8972,0.810002,0.15232600000000007,42.0368357944,0
0.904745,52.7635,0.725725,1,81.7219,0.936853,0.17902000000000007,76.5614071807,1
0.030286,2.9754,0.095668,8,31.784,0.199362,-0.065382,6.3365218080000005,0
0.046447,3.7732,0.209021,13,26.685,0.1418,-0.162574,3.783933,0
0.275292,8.8996,0.099264,14,23.6602,0.199102,0.17602799999999996,4.7107931404,0
0.221289,18.4577,0.256329,11,42.4145,0.580183,-0.03503999999999996,24.6081718535,0
0.204352,21.3188,0.819434,7,25.0033,0.482076,-0.615082,12.0534908508,0
0.092843,2.0118,0.140268,13,16.399,0.085067,-0.04742500000000001,1.395013733,0
0.615604,67.6925,0.787699,1,37.9424,0.28439,-0.172095,10.790439135999998,1
0.026881,3.0301,0.325283,7,41.7294,0.275645,-0.298402,11.502500462999999,1
0.141964,11.1703,0.138648,14,22.4088,0.218213,0.0033160000000000134,4.8898914744,0
0.069638,2.717,0.018341,13,12.3804,0.343231,0.05129700000000001,4.2493370724,0
0.306456,6.3665,0.031369,10,8.182,0.496995,0.275087,4.06641309,0
0.30916,6.2059,0.071265,9,17.6186,0.308713,0.237895,5.4390908618000005,0
0.427691,34.0638,0.161313,4,44.9631,0.343678,0.266378,15.452828281799999,1
0.599806,47.0696,0.57969,1,51.1158,0.343199,0.02011599999999991,17.5428914442,1
0.049367,9.6175,0.441888,8,20.9104,0.321166,-0.392521,6.7157095263999995,0
0.044308,14.0923,0.432833,5,27.6082,0.586977,-0.388525,16.205378411399998,0
0.356937,49.623,0.853928,2,62.2974,0.965916,-0.496991,60.1740554184,0
0.34217,17.0838,0.309716,4,50.4722,0.761484,0.03245399999999998,38.4337727448,0
0.028388,2.1505,0.104966,8,10.2753,0.238332,-0.07657800000000001,2.4489327995999997,0
0.410299,12.8296,0.337711,5,22.1325,0.626693,0.07258800000000004,13.870282822499998,0
0.354054,27.1995,0.639191,2,53.7855,0.525192,-0.285137,28.247714316,1
0.001427,0.8549,0.323965,14,25.2119,0.452154,-0.322538,11.3996614326,0
0.083092,0.536,0.50323,11,37.6509,0.39953,-0.42013799999999996,15.042664077,0
0.390686,10.7076,0.521858,4,50.2268,0.428111,-0.13117200000000007,21.5026455748,0
0.022802,7.0597,0.108225,8,16.3361,0.362318,-0.085423,5.918863079799999,0
0.200357,4.1263,0.184503,12,13.3463,0.126056,0.015854000000000007,1.6823811927999999,0
0.051803,3.0076,0.200719,12,18.0168,0.466727,-0.148916,8.4089270136,1
0.676501,65.6369,0.774035,3,40.2714,0.739763,-0.09753400000000001,29.791291678199997,0
0.3792,36.1693,0.622641,5,63.7062,0.376887,-0.24344100000000002,24.0100385994,0
0.257935,25.5906,0.333128,10,35.2627,0.223051,-0.07519299999999995,7.8653804977,0
0.121726,7.5304,0.024126,12,35.7143,0.194467,0.09759999999999999,6.9452527781,0
0.180772,5.7611,0.458605,11,27.3282,0.223205,-0.277833,6.099790881,0
0.619479,26.7572,0.911482,0,71.6041,0.555752,-0.292003,39.794121783200005,1
0.091864,4.7548,0.135176,8,20.135,0.203817,-0.04331199999999999,4.103855295000001,0
0.065559,1.2556,0.37312,9,29.2322,0.943607,-0.307561,27.583708545399997,0
0.181748,4.6002,0.160858,12,22.3048,0.229131,0.020889999999999992,5.1107211288,0
0.175205,9.496,0.468038,11,28.6299,0.405913,-0.292833,11.621248598700001,0
0.202833,4.6037,0.384142,13,25.2235,0.228362,-0.18130899999999997,5.760088907000001,0
0.54808,35.528,0.665619,3,68.3507,0.236169,-0.11753899999999995,16.1423164683,0
0.229416,6.9297,0.251339,12,19.7762,0.421129,-0.02192299999999997,8.3283313298,0
0.526404,17.6969,0.395311,9,24.151,0.184239,0.13109299999999996,4.4495560890000005,0
0.011496,0.8209,0.364783,13,31.5389,0.149755,-0.353287,4.7231079695,0
0.125774,7.4349,0.064746,10,13.5103,0.128138,0.061028,1.7311828214000002,0
0.192228,7.43,0.29196,9,9.1826,0.174852,-0.09973199999999999,1.6055959752000002,0
0.165833,3.6012,0.220934,12,11.6856,0.047976,-0.05510099999999998,0.5606283456,0
0.659811,64.1249,0.876878,0,59.3016,0.718692,-0.217067,42.6195855072,0
0.105038,2.4645,0.008942,8,22.3384,0.245925,0.096096,5.49357102,0
0.141964,11.1703,0.138648,14,22.4088,0.218213,0.0033160000000000134,4.8898914744,0
0.042754,5.8656,0.063867,14,33.6334,0.159478,-0.021112999999999993,5.3637873652,0
0.306513,46.5448,0.428785,2,47.5211,0.873506,-0.12227200000000005,41.5099659766,1
0.308793,8.8053,0.239761,11,24.3689,0.355865,0.06903199999999998,8.6720385985,0
0.596514,36.8824,0.489468,0,54.6362,0.917391,0.10704599999999997,50.1227581542,1
0.917789,60.1048,0.853863,2,64.7039,0.70097,0.06392599999999993,45.355492783,1
0.340379,9.9271,0.112238,6,6.948,0.661018,0.22814099999999998,4.592753064,0
0.0,1.3457,0.204226,8,26.3053,0.274289,-0.204226,7.2152544317,0
0.078276,3.0073,0.062748,13,6.5831,0.306456,0.015528,2.0174304936,0
0.026685,2.6145,0.097053,11,17.6902,0.317821,-0.070368,5.622317054200001,0
0.091767,3.0584,0.100459,9,25.2297,0.113795,-0.008692000000000005,2.8710137115,0
0.123558,1.3686,0.131529,14,28.6615,0.392841,-0.007971000000000006,11.2594123215,0
0.0,0.0,0.183209,12,17.5677,0.24289,-0.183209,4.267018652999999,0
0.862754,71.6106,0.726749,1,98.9004,0.731964,0.13600500000000004,72.3915323856,1
0.134901,3.9023,0.306955,14,27.0203,0.317578,-0.17205399999999998,8.581052833400001,0
0.526446,40.4678,0.463576,0,77.04,0.341687,0.06286999999999998,26.323566480000004,1
0.346485,11.1955,0.415349,1,60.8839,0.65912,-0.06886400000000004,40.129796168,1
0.068168,3.3397,0.06567,9,29.0916,0.107775,0.0024980000000000002,3.13534719,0
0.048565,8.2974,0.296834,14,22.7267,0.025172,-0.248269,0.5720764924,0
0.419458,44.8543,0.502432,1,64.7332,0.727413,-0.08297399999999999,47.08777121159999,0
0.276899,8.2317,0.13007,6,47.2687,0.1422,0.14682900000000002,6.72160914,1
0.200357,4.1263,0.184503,12,13.3463,0.126056,0.015854000000000007,1.6823811927999999,0
0.083901,12.6656,0.333914,8,9.5168,0.151199,-0.250013,1.4389306432,1
0.067858,7.8821,0.141575,11,24.1243,0.086671,-0.073717,2.0908772053,1
0.078093,6.4746,0.252827,10,29.8258,0.650312,-0.17473400000000003,19.3960756496,1
0.0588,4.7246,0.120566,8,18.2681,0.109039,-0.06176600000000001,1.9919353559,0
0.118141,12.7716,0.236389,6,27.8316,0.099176,-0.11824799999999999,2.7602267616000002,0
0.0,1.3457,0.204226,8,26.3053,0.274289,-0.204226,7.2152544317,0
0.905949,70.3465,0.728534,0,58.8382,0.598071,0.177415,35.1894211122,1
0.353588,25.4209,0.496809,5,44.3016,0.324945,-0.143221,14.395583411999999,1
0.05144,1.7282,0.225149,13,24.4785,0.652098,-0.173709,15.962380892999999,0
0.255065,8.4405,0.203366,12,26.7694,0.626778,0.051698999999999995,16.7784709932,0
0.137438,8.6099,0.138406,10,18.4892,0.559094,-0.0009679999999999966,10.3372007848,1
0.253946,15.1846,0.360019,11,23.3515,0.605239,-0.10607299999999997,14.1332385085,0
0.115966,5.8316,0.157398,12,26.4519,0.666886,-0.04143200000000001,17.640401783399998,0
0.062193,10.1596,0.202876,8,21.9652,0.651517,-0.140683,14.3107012084,0
0.690072,40.0807,0.537746,1,51.8972,0.810002,0.15232600000000007,42.0368357944,0
0.586147,33.7066,0.344051,3,56.0314,0.46509,0.24209599999999998,26.059643826,1
0.20245,18.3634,0.734624,5,40.9939,0.561887,-0.532174,23.0339394893,1
0.044761,15.4268,0.241613,8,42.9379,0.697991,-0.196852,29.9702677589,0
0.870675,73.032,0.724065,2,75.2615,0.754691,0.14661000000000002,56.7991766965,1
0.010355,0.5202,0.056127,10,24.5049,0.236095,-0.04577200000000001,5.7854843654999994,0
0.067167,4.7716,0.359989,10,29.4404,0.147332,-0.292822,4.3375130128,1
0.012381,4.3127,0.121257,13,7.8822,0.13751,-0.108876,1.0838813219999999,0
0.100093,8.6928,0.276716,10,24.532,0.273278,-0.17662300000000003,6.704055896000001,0
0.354893,12.3211,0.570104,2,75.6272,0.543462,-0.21521100000000004,41.100509366400004,0
0.626583,31.9099,0.461008,4,84.8006,0.598638,0.16557500000000003,50.7648615828,1
0.073464,5.5349,0.392781,12,20.4654,0.038656,-0.31931699999999996,0.7911105024,0
0.390686,10.7076,0.521858,4,50.2268,0.428111,-0.13117200000000007,21.5026455748,0
0.046473,1.5425,0.046836,13,31.5815,0.362425,-0.0003630000000000022,11.4459251375,0
0.299465,13.6508,0.69041,11,4.4767,0.538964,-0.390945,2.4127801388,0
0.112273,5.0152,0.540214,9,37.3895,0.118868,-0.42794099999999996,4.444415086,0
0.257727,8.255,0.451609,9,45.4438,0.030351,-0.193882,1.3792647738000001,0
0.272846,19.1981,0.219106,8,39.2709,0.486738,0.05373999999999998,19.1146393242,0
0.094469,28.5453,0.353805,10,49.594,0.733597,-0.259336,36.382009618000005,0
0.160256,4.0529,0.009324,8,22.499,0.421886,0.150932,9.492013113999999,0
0.597167,50.872,0.386547,2,78.2481,0.406639,0.21062000000000003,31.818729135899996,1
0.539505,28.3774,0.283157,11,36.3321,0.125936,0.256348,4.575519345599999,0
0.113421,17.9469,0.508401,7,32.2483,0.112843,-0.39498,3.6389949169,0
0.08392,9.9085,0.119955,7,28.9165,0.244957,-0.03603500000000001,7.0832990905,0
0.478413,42.8795,0.453434,4,71.3105,0.915048,0.024978999999999973,65.252530404,0
0.094449,8.2695,0.358696,9,25.3054,0.320536,-0.264247,8.111291694399998,0
0.329547,16.8545,0.582801,3,56.4881,0.230681,-0.25325400000000003,13.0307313961,1
0.102708,2.2572,0.356884,11,39.0569,0.147955,-0.25417599999999996,5.7786636395,0
0.074357,2.5042,0.100418,13,8.7482,0.214862,-0.026060999999999987,1.8796557484,0
0.253946,15.1846,0.360019,11,23.3515,0.605239,-0.10607299999999997,14.1332385085,0
0.035931,17.8351,0.430582,10,18.6455,0.463077,-0.39465100000000003,8.634302203499999,0
0.303229,13.5889,0.335226,7,36.8414,0.144594,-0.031997,5.3270453916000005,0
0.048755,3.09,0.463666,13,14.353,0.547556,-0.41491100000000003,7.859071268,0
0.044643,2.3501,0.115634,13,16.0076,0.321754,-0.070991,5.150509330399999,0
0.033193,2.8875,0.072094,10,27.4572,0.384166,-0.038901000000000005,10.5481226952,0
0.398639,58.2432,0.221029,5,38.2633,0.580656,0.17761000000000002,22.2178147248,1
0.248955,9.4799,0.086678,5,40.6522,0.615236,0.162277,25.0106969192,0
0.423525,30.6347,0.855284,2,62.5704,0.6984,-0.43175900000000006,43.699167360000004,1
0.140753,18.0405,0.549317,7,40.1982,0.107071,-0.40856400000000004,4.3040614722,0
0.0,1.3173,0.227757,11,20.7606,0.222071,-0.227757,4.6103272026,0
0.05024,0.324,0.098007,11,18.5951,0.212255,-0.047767,3.9469029504999997,0
0.093092,9.7056,0.292591,10,23.7025,0.258547,-0.19949899999999998,6.128210267500001,1
0.027983,5.4484,0.442305,11,40.5553,0.200615,-0.414322,8.1360015095,1
0.58466,46.1864,0.367123,4,70.551,0.991363,0.21753699999999998,69.941651013,1
0.108259,4.9462,0.106602,14,29.7352,0.055932,0.0016569999999999918,1.6631492064,0
0.025569,3.9232,0.272312,14,30.2882,0.378031,-0.246743,11.4498785342,0
0.010595,0.0,0.02682,12,29.8601,0.127207,-0.016225,3.7984137406999996,0
0.058408,5.3793,0.244229,11,10.1097,0.06846,-0.18582100000000001,0.6921100619999999,0
0.030609,3.9418,0.346611,14,32.6013,0.559812,-0.316002,18.2505989556,0
0.355322,7.6239,0.086937,11,39.5021,0.305452,0.26838500000000004,12.065995449199999,0
0.103003,6.2077,0.245252,12,30.8996,0.40361,-0.14224900000000001,12.471387556,0
0.235683,6.4931,0.328778,9,32.8563,0.211394,-0.09309500000000001,6.945624682199999,0
0.659185,43.5003,0.489044,1,94.401,0.754968,0.17014100000000004,71.269734168,1
0.123739,2.2606,0.166497,11,21.9054,0.181221,-0.042758000000000004,3.9697184934,0
0.079484,6.5039,0.081613,8,31.447,0.412912,-0.002129000000000006,12.984843664,1
0.07096,6.78,0.055182,9,29.2916,0.193316,0.015777999999999993,5.662534945599999,0
0.340379,9.9271,0.112238,6,6.948,0.661018,0.22814099999999998,4.592753064,0
0.071667,2.0673,0.301687,14,22.3478,0.074817,-0.23002,1.6719953525999998,0
0.015295,0.0,0.397758,14,10.248,0.332715,-0.382463,3.4096633199999995,0
0.3156,4.2852,0.260267,9,17.3156,0.405483,0.055332999999999966,7.0211814348,0
0.220934,3.3306,0.252211,14,29.0879,0.756646,-0.03127700000000003,22.009243183400002,1
0.409943,22.1701,0.604993,3,66.8141,0.559433,-0.19505,37.3780124053,1
0.003048,5.7448,0.263313,11,12.2703,0.044912,-0.260265,0.5510837136000001,0
0.38263,23.5898,0.263648,11,25.9665,0.478034,0.11898200000000003,12.412869861,1
0.89371,67.0311,0.888641,0,92.0919,0.45428,0.00506899999999999,41.835508331999996,1
0.149825,9.3451,0.408216,9,34.9615,0.429979,-0.25839100000000004,15.032710808500001,0
0.12138,18.5919,0.321007,6,22.9879,0.205271,-0.199627,4.7187492209,0
0.112644,16.8483,0.279097,10,26.4196,0.571791,-0.166453,15.1064895036,0
0.458574,19.3189,0.469585,8,24.0266,0.122666,-0.011010999999999993,2.9472469155999996,0
0.028569,2.1508,0.10796,8,13.3392,0.124038,-0.079391,1.6545676896,0
0.909317,87.0842,0.669673,1,63.4164,0.548908,0.23964400000000008,34.8097692912,1
0.938884,68.7225,0.543786,2,79.4827,0.629575,0.39509800000000006,50.040320852499995,1
0.055257,5.1114,0.344657,10,23.8918,0.330591,-0.2894,7.898414053800001,0
0.068919,17.858,0.077477,13,26.8052,0.309126,-0.00855800000000001,8.2861842552,0
0.342195,14.6361,0.058899,11,48.8584,0.319264,0.28329600000000005,15.598728217600001,1
0.177122,12.9068,0.222371,11,8.872,0.214666,-0.04524900000000001,1.904516752,0
0.057651,4.0855,0.068493,10,18.535,0.029283,-0.010841999999999997,0.542760405,1
0.325371,19.2787,0.568498,3,55.7065,0.9326,-0.24312699999999993,51.9518819,0
0.092251,2.0026,0.04513,12,26.88,0.411258,0.047120999999999996,11.05461504,0
0.082935,4.1422,0.200742,12,15.7032,0.328941,-0.11780700000000001,5.1654263112,0
0.032419,7.712,0.077859,12,23.5504,0.496768,-0.045439999999999994,11.6990851072,0
0.215593,9.6259,0.266735,8,28.9224,0.503487,-0.05114199999999999,14.5620524088,0
0.068421,0.0,0.157631,13,33.2957,0.199352,-0.08921,6.637564386399999,0
0.356536,9.662,0.299991,9,16.3409,0.394974,0.05654500000000001,6.4542306366,0
0.942042,54.2743,0.804072,2,77.9655,0.721747,0.13797000000000004,56.27136572850001,1
0.260967,8.7508,0.169245,12,18.0472,0.565987,0.091722,10.2144805864,0
0.504647,13.8911,0.216416,5,23.4573,0.358705,0.28823099999999996,8.4142507965,0
0.064973,1.6987,0.087201,11,24.4584,0.42914,-0.022227999999999998,10.496077776000002,0
0.020794,3.6817,0.019568,9,20.2564,0.205435,0.0012260000000000014,4.161373534,0
0.152937,2.6673,0.121286,8,39.7354,0.161628,0.031650999999999985,6.4223532312,0
